date,GDP,IP,TY10,UR,NFP,AIC4W,FFRATE,CBYAAA,M1,PSRATE,HSTART,COMML,BDEBT,DISCRATE,BKRATE,LIBOR12M,ICL,MHP,GPDI,CU,UNEMPLOY,MICH,TWDI,WTI,TB6M,TOTBKCR,CFNAI,FGRECPT
3/31/1919,,83,,,,,,5.35,,,,,,,,,,,,,,,,,,,,
4/30/1919,,80,,,,,,5.35,,,,,,,,,,,,,,,,,,,,
5/31/1919,,77,,,,,,5.39,,,,,,,,,,,,,,,,,,,,
6/30/1919,,78,,,,,,5.44,,,,,,,,,,,,,,,,,,,,
7/31/1919,,77,,,,,,5.39,,,,,,,,,,,,,,,,,,,,
8/31/1919,,83,,,,,,5.4,,,,,,,,,,,,,,,,,,,,
9/30/1919,,87,,,,,,5.44,,,,,,,,,,,,,,,,,,,,
10/31/1919,,89,,,,,,5.56,,,,,,,,,,,,,,,,,,,,
11/30/1919,,87,,,,,,5.6,,,,,,,,,,,,,,,,,,,,
12/31/1919,,86,,,,,,5.54,,,,,,,,,,,,,,,,,,,,
1/31/1920,,85,,,,,,5.66,,,,,,,,,,,,,,,,,,,,
2/29/1920,,85,,,,,,5.73,,,,,,,,,,,,,,,,,,,,
3/31/1920,,95,,,,,,5.75,,,,,,,,,,,,,,,,,,,,
4/30/1920,,95,,,,,,5.86,,,,,,,,,,,,,,,,,,,,
5/31/1920,,94,,,,,,5.92,,,,,,,,,,,,,,,,,,,,
6/30/1920,,88,,,,,,6.04,,,,,,,,,,,,,,,,,,,,
7/31/1920,,90,,,,,,6.25,,,,,,,,,,,,,,,,,,,,
8/31/1920,,90,,,,,,6.38,,,,,,,,,,,,,,,,,,,,
9/30/1920,,88,,,,,,6.34,,,,,,,,,,,,,,,,,,,,
10/31/1920,,88,,,,,,6.3,,,,,,,,,,,,,,,,,,,,
11/30/1920,,85,,,,,,6.22,,,,,,,,,,,,,,,,,,,,
12/31/1920,,82,,,,,,6.05,,,,,,,,,,,,,,,,,,,,
1/31/1921,,75,,,,,,6.08,,,,,,,,,,,,,,,,,,,,
2/28/1921,,70,,,,,,6.26,,,,,,,,,,,,,,,,,,,,
3/31/1921,,67,,,,,,6.14,,,,,,,,,,,,,,,,,,,,
4/30/1921,,66,,,,,,6.08,,,,,,,,,,,,,,,,,,,,
5/31/1921,,65,,,,,,6.08,,,,,,,,,,,,,,,,,,,,
6/30/1921,,65,,,,,,6.06,,,,,,,,,,,,,,,,,,,,
7/31/1921,,66,,,,,,6.11,,,,,,,,,,,,,,,,,,,,
8/31/1921,,65,,,,,,6.18,,,,,,,,,,,,,,,,,,,,
9/30/1921,,64,,,,,,6.12,,,,,,,,,,,,,,,,,,,,
10/31/1921,,66,,,,,,5.99,,,,,,,,,,,,,,,,,,,,
11/30/1921,,67,,,,,,5.93,,,,,,,,,,,,,,,,,,,,
12/31/1921,,71,,,,,,5.84,,,,,,,,,,,,,,,,,,,,
1/31/1922,,71,,,,,,5.6,,,,,,,,,,,,,,,,,,,,
2/28/1922,,70,,,,,,5.5,,,,,,,,,,,,,,,,,,,,
3/31/1922,,74,,,,,,5.34,,,,,,,,,,,,,,,,,,,,
4/30/1922,,76,,,,,,5.29,,,,,,,,,,,,,,,,,,,,
5/31/1922,,81,,,,,,5.23,,,,,,,,,,,,,,,,,,,,
6/30/1922,,77,,,,,,5.15,,,,,,,,,,,,,,,,,,,,
7/31/1922,,81,,,,,,5.13,,,,,,,,,,,,,,,,,,,,
8/31/1922,,85,,,,,,5.08,,,,,,,,,,,,,,,,,,,,
9/30/1922,,84,,,,,,5,,,,,,,,,,,,,,,,,,,,
10/31/1922,,83,,,,,,4.96,,,,,,,,,,,,,,,,,,,,
11/30/1922,,88,,,,,,4.93,,,,,,,,,,,,,,,,,,,,
12/31/1922,,94,,,,,,4.97,,,,,,,,,,,,,,,,,,,,
1/31/1923,,97,,,,,,5.09,,,,,,,,,,,,,,,,,,,,
2/28/1923,,100,,,,,,5.08,,,,,,,,,,,,,,,,,,,,
3/31/1923,,100,,,,,,5.04,,,,,,,,,,,,,,,,,,,,
4/30/1923,,100,,,,,,5.07,,,,,,,,,,,,,,,,,,,,
5/31/1923,,104,,,,,,5.13,,,,,,,,,,,,,,,,,,,,
6/30/1923,,107,,,,,,5.22,,,,,,,,,,,,,,,,,,,,
7/31/1923,,107,,,,,,5.16,,,,,,,,,,,,,,,,,,,,
8/31/1923,,105,,,,,,5.15,,,,,,,,,,,,,,,,,,,,
9/30/1923,,103,,,,,,5.14,,,,,,,,,,,,,,,,,,,,
10/31/1923,,102,,,,,,5.08,,,,,,,,,,,,,,,,,,,,
11/30/1923,,100,,,,,,5.12,,,,,,,,,,,,,,,,,,,,
12/31/1923,,99,,,,,,5.11,,,,,,,,,,,,,,,,,,,,
1/31/1924,,97,,,,,,5.09,,,,,,,,,,,,,,,,,,,,
2/29/1924,,96,,,,,,5.09,,,,,,,,,,,,,,,,,,,,
3/31/1924,,98,,,,,,5.09,,,,,,,,,,,,,,,,,,,,
4/30/1924,,102,,,,,,5.09,,,,,,,,,,,,,,,,,,,,
5/31/1924,,101,,,,,,5.1,,,,,,,,,,,,,,,,,,,,
6/30/1924,,95,,,,,,5.08,,,,,,,,,,,,,,,,,,,,
7/31/1924,,89,,,,,,5.04,,,,,,,,,,,,,,,,,,,,
8/31/1924,,85,,,,,,4.99,,,,,,,,,,,,,,,,,,,,
9/30/1924,,83,,,,,,4.95,,,,,,,,,,,,,,,,,,,,
10/31/1924,,89,,,,,,4.95,,,,,,,,,,,,,,,,,,,,
11/30/1924,,94,,,,,,4.95,,,,,,,,,,,,,,,,,,,,
12/31/1924,,95,,,,,,4.92,,,,,,,,,,,,,,,,,,,,
1/31/1925,,97,,,,,,4.94,,,,,,,,,,,,,,,,,,,,
2/28/1925,,100,,,,,,4.95,,,,,,,,,,,,,,,,,,,,
3/31/1925,,105,,,,,,4.95,,,,,,,,,,,,,,,,,,,,
4/30/1925,,105,,,,,,4.95,,,,,,,,,,,,,,,,,,,,
5/31/1925,,105,,,,,,4.91,,,,,,,,,,,,,,,,,,,,
6/30/1925,,103,,,,,,4.87,,,,,,,,,,,,,,,,,,,,
7/31/1925,,103,,,,,,4.83,,,,,,,,,,,,,,,,,,,,
8/31/1925,,101,,,,,,4.83,,,,,,,,,,,,,,,,,,,,
9/30/1925,,103,,,,,,4.87,,,,,,,,,,,,,,,,,,,,
10/31/1925,,103,,,,,,4.9,,,,,,,,,,,,,,,,,,,,
11/30/1925,,102,,,,,,4.87,,,,,,,,,,,,,,,,,,,,
12/31/1925,,105,,,,,,4.85,,,,,,,,,,,,,,,,,,,,
1/31/1926,,106,,,,,,4.84,,,,,,,,,,,,,,,,,,,,
2/28/1926,,108,,,,,,4.85,,,,,,,,,,,,,,,,,,,,
3/31/1926,,106,,,,,,4.82,,,,,,,,,,,,,,,,,,,,
4/30/1926,,107,,,,,,4.77,,,,,,,,,,,,,,,,,,,,
5/31/1926,,108,,,,,,4.79,,,,,,,,,,,,,,,,,,,,
6/30/1926,,108,,,,,,4.74,,,,,,,,,,,,,,,,,,,,
7/31/1926,,107,,,,,,4.71,,,,,,,,,,,,,,,,,,,,
8/31/1926,,107,,,,,,4.72,,,,,,,,,,,,,,,,,,,,
9/30/1926,,107,,,,,,4.71,,,,,,,,,,,,,,,,,,,,
10/31/1926,,111,,,,,,4.72,,,,,,,,,,,,,,,,,,,,
11/30/1926,,113,,,,,,4.72,,,,,,,,,,,,,,,,,,,,
12/31/1926,,111,,,,,,4.71,,,,,,,,,,,,,,,,,,,,
1/31/1927,,105,,,,,,4.68,,,,,,,,,,,,,,,,,,,,
